Month,Actual_Return_%,Value
2015-02,-5.29,94710.0
2015-03,-1.91,92901.04
2015-04,8.69,100974.14
2015-05,0.83,101812.22
2015-06,-7.91,93758.88
2015-07,-7.55,86680.08
2015-08,-1.89,85041.83
2015-09,-4.5,81214.95
2015-10,-5.19,76999.89
2015-11,0.25,77192.39
2015-12,0.49,77570.63
