Month,Actual_Return_%,Value,Year
2023-12,2.19,1269.09,2023
2024-02,2.08,1020.8,2024
2024-03,2.08,1042.03,2024
2024-04,2.08,1063.71,2024
2024-05,2.08,1085.83,2024
2024-06,2.08,1108.42,2024
2024-07,2.08,1131.47,2024
2024-08,2.08,1155.01,2024
2024-09,2.08,1179.03,2024
2024-10,2.08,1203.56,2024
2024-11,2.08,1228.59,2024
2024-12,2.08,1254.14,2024
2025-02,1.49,1014.9,2025
2025-03,1.49,1030.02,2025
2025-04,1.49,1045.37,2025
2025-05,1.49,1060.95,2025
2025-06,1.49,1076.75,2025
2025-07,1.49,1092.8,2025
2025-08,1.49,1109.08,2025
2025-09,1.49,1125.61,2025
2025-10,1.49,1142.38,2025
