Month,Actual_Return_%,Value
2015-02,-5.29,94.71
2015-03,-1.91,92.9
2015-04,8.69,100.97
2015-05,0.83,101.81
2015-06,-7.91,93.76
2015-07,-7.55,86.68
2015-08,-1.89,85.04
2015-09,-4.5,81.21
2015-10,-5.19,77.0
2015-11,0.25,77.19
2015-12,0.49,77.57
