Month,Actual_Return_%,Value,Year
2024-10,2.08,120.36,2024
2024-11,2.08,122.86,2024
2024-12,2.08,125.41,2024
2025-02,1.49,101.49,2025
2025-03,1.49,103.0,2025
2025-04,1.49,104.54,2025
2025-05,1.49,106.09,2025
2025-06,1.49,107.68,2025
2025-07,1.49,109.28,2025
2025-08,1.49,110.91,2025
2025-09,1.49,112.56,2025
2025-10,1.49,114.24,2025
