Month,Actual_Return_%,Value
2015-01,31.11,1.31
2015-02,31.92,1.73
2015-03,33.18,2.3
2015-04,34.16,3.09
2015-05,35.27,4.18
2015-05,47.18,6.15
2015-06,36.6,8.4
2015-07,38.76,11.66
2015-08,39.19,16.23
2015-09,38.08,22.41
2015-10,37.95,30.92
2015-11,38.75,42.9
2015-12,40.77,60.39
