Month,Actual_Return_%,Value
2015-01,31.11,131110.0
2015-02,31.92,172960.31
2015-03,33.18,230348.54
2015-04,34.16,309035.61
2015-05,35.27,418032.46
2015-05,47.18,615260.18
2015-06,36.6,840445.41
2015-07,38.76,1166202.05
2015-08,39.19,1623236.63
2015-09,38.08,2241365.14
2015-10,37.95,3091963.21
2015-11,38.75,4290098.95
2015-12,40.77,6039172.29
