Month,Actual_Return_%,Value
2015-02,-5.29,0.95
2015-03,-1.91,0.93
2015-04,8.69,1.01
2015-05,0.83,1.02
2015-06,-7.91,0.94
2015-07,-7.55,0.87
2015-08,-1.89,0.85
2015-09,-4.5,0.81
2015-10,-5.19,0.77
2015-11,0.25,0.77
2015-12,0.49,0.78
