Month,Actual_Return_%,Value
2015-01,31.11,131.11
2015-02,31.92,172.96
2015-03,33.18,230.35
2015-04,34.16,309.04
2015-05,35.27,418.03
2015-05,47.18,615.26
2015-06,36.6,840.45
2015-07,38.76,1166.2
2015-08,39.19,1623.24
2015-09,38.08,2241.37
2015-10,37.95,3091.96
2015-11,38.75,4290.1
2015-12,40.77,6039.17
